"","state","year","unemployment_rate","state_year"
"565","Arkansas","2010",8.2,"Arkansas2010"
"566","California","2010",12.2,"California2010"
"567","Colorado","2010",8.7,"Colorado2010"
"568","Connecticut","2010",9.1,"Connecticut2010"
"569","Delaware","2010",8.4,"Delaware2010"
"570","District of Columbia","2010",9.4,"District of Columbia2010"
"571","Florida","2010",11.1,"Florida2010"
"572","Georgia","2010",10.5,"Georgia2010"
"573","Hawaii","2010",6.9,"Hawaii2010"
"574","Idaho","2010",9,"Idaho2010"
"575","Illinois","2010",10.4,"Illinois2010"
"576","Indiana","2010",10.4,"Indiana2010"
"577","Iowa","2010",6,"Iowa2010"
"578","Kansas","2010",7.1,"Kansas2010"
"579","Kentucky","2010",10.2,"Kentucky2010"
"580","Louisiana","2010",8,"Louisiana2010"
"581","Maine","2010",8.1,"Maine2010"
"582","Maryland","2010",7.7,"Maryland2010"
"583","Massachusetts","2010",8.3,"Massachusetts2010"
"584","Michigan","2010",12.6,"Michigan2010"
"585","Minnesota","2010",7.4,"Minnesota2010"
"586","Mississippi","2010",10.4,"Mississippi2010"
"587","Missouri","2010",9.6,"Missouri2010"
"588","Montana","2010",7.3,"Montana2010"
"589","Nebraska","2010",4.6,"Nebraska2010"
"590","Nevada","2010",13.5,"Nevada2010"
"591","New Hampshire","2010",5.8,"New Hampshire2010"
"592","New Jersey","2010",9.5,"New Jersey2010"
"593","New Mexico","2010",8.1,"New Mexico2010"
"594","New York","2010",8.6,"New York2010"
"595","North Carolina","2010",10.9,"North Carolina2010"
"596","North Dakota","2010",3.8,"North Dakota2010"
"597","Ohio","2010",10.3,"Ohio2010"
"598","Oklahoma","2010",6.8,"Oklahoma2010"
"599","Oregon","2010",10.6,"Oregon2010"
"600","Pennsylvania","2010",8.5,"Pennsylvania2010"
"601","Rhode Island","2010",11.2,"Rhode Island2010"
"602","South Carolina","2010",11.2,"South Carolina2010"
"603","South Dakota","2010",5,"South Dakota2010"
"604","Tennessee","2010",9.7,"Tennessee2010"
"605","Texas","2010",8.1,"Texas2010"
"606","Utah","2010",7.8,"Utah2010"
"607","Vermont","2010",6.1,"Vermont2010"
"608","Virginia","2010",7.1,"Virginia2010"
"609","Washington","2010",10,"Washington2010"
"610","West Virginia","2010",8.7,"West Virginia2010"
"611","Wisconsin","2010",8.7,"Wisconsin2010"
"612","Wyoming","2010",6.4,"Wyoming2010"
"613","Alabama","2011",9.6,"Alabama2011"
"614","Alaska","2011",7.6,"Alaska2011"
"615","Arizona","2011",9.5,"Arizona2011"
"616","Arkansas","2011",8.3,"Arkansas2011"
"617","California","2011",11.7,"California2011"
"618","Colorado","2011",8.4,"Colorado2011"
"619","Connecticut","2011",8.8,"Connecticut2011"
"620","Delaware","2011",7.5,"Delaware2011"
"621","District of Columbia","2011",10.2,"District of Columbia2011"
"622","Florida","2011",10,"Florida2011"
"623","Georgia","2011",10.2,"Georgia2011"
"624","Hawaii","2011",6.8,"Hawaii2011"
"625","Idaho","2011",8.3,"Idaho2011"
"626","Illinois","2011",9.7,"Illinois2011"
"627","Indiana","2011",9.1,"Indiana2011"
"628","Iowa","2011",5.5,"Iowa2011"
"629","Kansas","2011",6.5,"Kansas2011"
"630","Kentucky","2011",9.4,"Kentucky2011"
"631","Louisiana","2011",7.8,"Louisiana2011"
"632","Maine","2011",7.9,"Maine2011"
"633","Maryland","2011",7.2,"Maryland2011"
"634","Massachusetts","2011",7.3,"Massachusetts2011"
"635","Michigan","2011",10.4,"Michigan2011"
"636","Minnesota","2011",6.5,"Minnesota2011"
"637","Mississippi","2011",10,"Mississippi2011"
"638","Missouri","2011",8.5,"Missouri2011"
"639","Montana","2011",6.9,"Montana2011"
"640","Nebraska","2011",4.4,"Nebraska2011"
"641","Nevada","2011",13,"Nevada2011"
"642","New Hampshire","2011",5.4,"New Hampshire2011"
"643","New Jersey","2011",9.3,"New Jersey2011"
"644","New Mexico","2011",7.5,"New Mexico2011"
"645","New York","2011",8.3,"New York2011"
"646","North Carolina","2011",10.3,"North Carolina2011"
"647","North Dakota","2011",3.5,"North Dakota2011"
"648","Ohio","2011",8.8,"Ohio2011"
"649","Oklahoma","2011",5.9,"Oklahoma2011"
"650","Oregon","2011",9.5,"Oregon2011"
"651","Pennsylvania","2011",7.9,"Pennsylvania2011"
"652","Rhode Island","2011",11,"Rhode Island2011"
"653","South Carolina","2011",10.6,"South Carolina2011"
"654","South Dakota","2011",4.7,"South Dakota2011"
"655","Tennessee","2011",9,"Tennessee2011"
"656","Texas","2011",7.8,"Texas2011"
"657","Utah","2011",6.7,"Utah2011"
"658","Vermont","2011",5.5,"Vermont2011"
"659","Virginia","2011",6.6,"Virginia2011"
"660","Washington","2011",9.3,"Washington2011"
"661","West Virginia","2011",8.1,"West Virginia2011"
"662","Wisconsin","2011",7.8,"Wisconsin2011"
"663","Wyoming","2011",5.8,"Wyoming2011"
"664","Alabama","2012",8,"Alabama2012"
"665","Alaska","2012",7.1,"Alaska2012"
"666","Arizona","2012",8.3,"Arizona2012"
"667","Arkansas","2012",7.6,"Arkansas2012"
"668","California","2012",10.4,"California2012"
"669","Colorado","2012",7.9,"Colorado2012"
"670","Connecticut","2012",8.3,"Connecticut2012"
"671","Delaware","2012",7.2,"Delaware2012"
"672","District of Columbia","2012",9,"District of Columbia2012"
"673","Florida","2012",8.5,"Florida2012"
"674","Georgia","2012",9.2,"Georgia2012"
"675","Hawaii","2012",6,"Hawaii2012"
"676","Idaho","2012",7.2,"Idaho2012"
"677","Illinois","2012",9,"Illinois2012"
"678","Indiana","2012",8.3,"Indiana2012"
"679","Iowa","2012",5.1,"Iowa2012"
"680","Kansas","2012",5.7,"Kansas2012"
"681","Kentucky","2012",8.2,"Kentucky2012"
"682","Louisiana","2012",7.1,"Louisiana2012"
"683","Maine","2012",7.5,"Maine2012"
"684","Maryland","2012",7,"Maryland2012"
"685","Massachusetts","2012",6.7,"Massachusetts2012"
"686","Michigan","2012",9.1,"Michigan2012"
"687","Minnesota","2012",5.6,"Minnesota2012"
"688","Mississippi","2012",9,"Mississippi2012"
"689","Missouri","2012",7,"Missouri2012"
"690","Montana","2012",6,"Montana2012"
"691","Nebraska","2012",4,"Nebraska2012"
"692","Nevada","2012",11.2,"Nevada2012"
"693","New Hampshire","2012",5.5,"New Hampshire2012"
"694","New Jersey","2012",9.3,"New Jersey2012"
"695","New Mexico","2012",7.1,"New Mexico2012"
"696","New York","2012",8.5,"New York2012"
"697","North Carolina","2012",9.3,"North Carolina2012"
"698","North Dakota","2012",3.1,"North Dakota2012"
"699","Ohio","2012",7.4,"Ohio2012"
"700","Oklahoma","2012",5.3,"Oklahoma2012"
"701","Oregon","2012",8.8,"Oregon2012"
"702","Pennsylvania","2012",7.8,"Pennsylvania2012"
"703","Rhode Island","2012",10.4,"Rhode Island2012"
"704","South Carolina","2012",9.2,"South Carolina2012"
"705","South Dakota","2012",4.3,"South Dakota2012"
"706","Tennessee","2012",7.8,"Tennessee2012"
"707","Texas","2012",6.7,"Texas2012"
"708","Utah","2012",5.4,"Utah2012"
"709","Vermont","2012",5,"Vermont2012"
"710","Virginia","2012",6,"Virginia2012"
"711","Washington","2012",8.1,"Washington2012"
"712","West Virginia","2012",7.5,"West Virginia2012"
"713","Wisconsin","2012",7,"Wisconsin2012"
"714","Wyoming","2012",5.3,"Wyoming2012"
"715","Alabama","2013",7.2,"Alabama2013"
"716","Alaska","2013",6.9,"Alaska2013"
"717","Arizona","2013",7.7,"Arizona2013"
"718","Arkansas","2013",7.3,"Arkansas2013"
"719","California","2013",8.9,"California2013"
"720","Colorado","2013",6.8,"Colorado2013"
"721","Connecticut","2013",7.8,"Connecticut2013"
"722","Delaware","2013",6.7,"Delaware2013"
"723","District of Columbia","2013",8.5,"District of Columbia2013"
"724","Florida","2013",7.3,"Florida2013"
"725","Georgia","2013",8.2,"Georgia2013"
"726","Hawaii","2013",4.9,"Hawaii2013"
"727","Idaho","2013",6.2,"Idaho2013"
"728","Illinois","2013",9.1,"Illinois2013"
"729","Indiana","2013",7.7,"Indiana2013"
"730","Iowa","2013",4.7,"Iowa2013"
"731","Kansas","2013",5.3,"Kansas2013"
"732","Kentucky","2013",8.1,"Kentucky2013"
"733","Louisiana","2013",6.7,"Louisiana2013"
"734","Maine","2013",6.6,"Maine2013"
"735","Maryland","2013",6.6,"Maryland2013"
"736","Massachusetts","2013",6.7,"Massachusetts2013"
"737","Michigan","2013",8.8,"Michigan2013"
"738","Minnesota","2013",4.9,"Minnesota2013"
"739","Mississippi","2013",8.6,"Mississippi2013"
"740","Missouri","2013",6.7,"Missouri2013"
"741","Montana","2013",5.4,"Montana2013"
"742","Nebraska","2013",3.8,"Nebraska2013"
"743","Nevada","2013",9.6,"Nevada2013"
"744","New Hampshire","2013",5.1,"New Hampshire2013"
"745","New Jersey","2013",8.2,"New Jersey2013"
"746","New Mexico","2013",7,"New Mexico2013"
"747","New York","2013",7.7,"New York2013"
"748","North Carolina","2013",7.9,"North Carolina2013"
"749","North Dakota","2013",2.9,"North Dakota2013"
"750","Ohio","2013",7.5,"Ohio2013"
"751","Oklahoma","2013",5.3,"Oklahoma2013"
"752","Oregon","2013",7.9,"Oregon2013"
"753","Pennsylvania","2013",7.4,"Pennsylvania2013"
"754","Rhode Island","2013",9.3,"Rhode Island2013"
"755","South Carolina","2013",7.6,"South Carolina2013"
"756","South Dakota","2013",3.8,"South Dakota2013"
"757","Tennessee","2013",7.8,"Tennessee2013"
"758","Texas","2013",6.2,"Texas2013"
"759","Utah","2013",4.6,"Utah2013"
"760","Vermont","2013",4.4,"Vermont2013"
"761","Virginia","2013",5.7,"Virginia2013"
"762","Washington","2013",7,"Washington2013"
"763","West Virginia","2013",6.7,"West Virginia2013"
"764","Wisconsin","2013",6.7,"Wisconsin2013"
"765","Wyoming","2013",4.7,"Wyoming2013"
"766","Alabama","2014",6.8,"Alabama2014"
"767","Alaska","2014",6.9,"Alaska2014"
"768","Arizona","2014",6.8,"Arizona2014"
"769","Arkansas","2014",6.1,"Arkansas2014"
"770","California","2014",7.5,"California2014"
"771","Colorado","2014",5,"Colorado2014"
"772","Connecticut","2014",6.6,"Connecticut2014"
"773","Delaware","2014",5.7,"Delaware2014"
"774","District of Columbia","2014",7.8,"District of Columbia2014"
"775","Florida","2014",6.3,"Florida2014"
"776","Georgia","2014",7.1,"Georgia2014"
"777","Hawaii","2014",4.4,"Hawaii2014"
"778","Idaho","2014",4.8,"Idaho2014"
"779","Illinois","2014",7.1,"Illinois2014"
"780","Indiana","2014",5.9,"Indiana2014"
"781","Iowa","2014",4.2,"Iowa2014"
"782","Kansas","2014",4.6,"Kansas2014"
"783","Kentucky","2014",6.5,"Kentucky2014"
"784","Louisiana","2014",6.4,"Louisiana2014"
"785","Maine","2014",5.6,"Maine2014"
"786","Maryland","2014",5.8,"Maryland2014"
"787","Massachusetts","2014",5.7,"Massachusetts2014"
"788","Michigan","2014",7.3,"Michigan2014"
"789","Minnesota","2014",4.2,"Minnesota2014"
"790","Mississippi","2014",7.6,"Mississippi2014"
"791","Missouri","2014",6.2,"Missouri2014"
"792","Montana","2014",4.7,"Montana2014"
"793","Nebraska","2014",3.3,"Nebraska2014"
"794","Nevada","2014",7.9,"Nevada2014"
"795","New Hampshire","2014",4.3,"New Hampshire2014"
"796","New Jersey","2014",6.7,"New Jersey2014"
"797","New Mexico","2014",6.7,"New Mexico2014"
"798","New York","2014",6.3,"New York2014"
"799","North Carolina","2014",6.3,"North Carolina2014"
"800","North Dakota","2014",2.7,"North Dakota2014"
"801","Ohio","2014",5.8,"Ohio2014"
"802","Oklahoma","2014",4.5,"Oklahoma2014"
"803","Oregon","2014",6.8,"Oregon2014"
"804","Pennsylvania","2014",5.9,"Pennsylvania2014"
"805","Rhode Island","2014",7.7,"Rhode Island2014"
"806","South Carolina","2014",6.4,"South Carolina2014"
"807","South Dakota","2014",3.4,"South Dakota2014"
"808","Tennessee","2014",6.5,"Tennessee2014"
"809","Texas","2014",5.1,"Texas2014"
"810","Utah","2014",3.8,"Utah2014"
"811","Vermont","2014",4,"Vermont2014"
"812","Virginia","2014",5.2,"Virginia2014"
"813","Washington","2014",6.1,"Washington2014"
"814","West Virginia","2014",6.6,"West Virginia2014"
"815","Wisconsin","2014",5.4,"Wisconsin2014"
"816","Wyoming","2014",4.1,"Wyoming2014"
"817","Alabama","2015",6.1,"Alabama2015"
"818","Alaska","2015",6.5,"Alaska2015"
"819","Arizona","2015",6.1,"Arizona2015"
"820","Arkansas","2015",5.2,"Arkansas2015"
"821","California","2015",6.2,"California2015"
"822","Colorado","2015",3.9,"Colorado2015"
"823","Connecticut","2015",5.6,"Connecticut2015"
"824","Delaware","2015",4.9,"Delaware2015"
"825","District of Columbia","2015",6.9,"District of Columbia2015"
"826","Florida","2015",5.4,"Florida2015"
"827","Georgia","2015",5.9,"Georgia2015"
"828","Hawaii","2015",3.6,"Hawaii2015"
"829","Idaho","2015",4.1,"Idaho2015"
"830","Illinois","2015",5.9,"Illinois2015"
"831","Indiana","2015",4.8,"Indiana2015"
"832","Iowa","2015",3.7,"Iowa2015"
"833","Kansas","2015",4.2,"Kansas2015"
"834","Kentucky","2015",5.4,"Kentucky2015"
"835","Louisiana","2015",6.3,"Louisiana2015"
"836","Maine","2015",4.4,"Maine2015"
"837","Maryland","2015",5.2,"Maryland2015"
"838","Massachusetts","2015",5,"Massachusetts2015"
"839","Michigan","2015",5.4,"Michigan2015"
"840","Minnesota","2015",3.7,"Minnesota2015"
"841","Mississippi","2015",6.5,"Mississippi2015"
"842","Missouri","2015",5,"Missouri2015"
"843","Montana","2015",4.1,"Montana2015"
"844","Nebraska","2015",3,"Nebraska2015"
"845","Nevada","2015",6.7,"Nevada2015"
"846","New Hampshire","2015",3.4,"New Hampshire2015"
"847","New Jersey","2015",5.6,"New Jersey2015"
"848","New Mexico","2015",6.6,"New Mexico2015"
"849","New York","2015",5.3,"New York2015"
"850","North Carolina","2015",5.7,"North Carolina2015"
"851","North Dakota","2015",2.7,"North Dakota2015"
"852","Ohio","2015",4.9,"Ohio2015"
"853","Oklahoma","2015",4.2,"Oklahoma2015"
"854","Oregon","2015",5.7,"Oregon2015"
"855","Pennsylvania","2015",5.1,"Pennsylvania2015"
"856","Rhode Island","2015",6,"Rhode Island2015"
"857","South Carolina","2015",6,"South Carolina2015"
"858","South Dakota","2015",3.1,"South Dakota2015"
"859","Tennessee","2015",5.8,"Tennessee2015"
"860","Texas","2015",4.5,"Texas2015"
"861","Utah","2015",3.5,"Utah2015"
"862","Vermont","2015",3.7,"Vermont2015"
"863","Virginia","2015",4.4,"Virginia2015"
"864","Washington","2015",5.7,"Washington2015"
"865","West Virginia","2015",6.7,"West Virginia2015"
"866","Wisconsin","2015",4.6,"Wisconsin2015"
"867","Wyoming","2015",4.2,"Wyoming2015"
"868","Alabama","2016",6,"Alabama2016"
"869","Alaska","2016",6.6,"Alaska2016"
"870","Arizona","2016",5.3,"Arizona2016"
"871","Arkansas","2016",4,"Arkansas2016"
"872","California","2016",5.4,"California2016"
"873","Colorado","2016",3.3,"Colorado2016"
"874","Connecticut","2016",5.1,"Connecticut2016"
"875","Delaware","2016",4.4,"Delaware2016"
"876","District of Columbia","2016",6,"District of Columbia2016"
"877","Florida","2016",4.9,"Florida2016"
"878","Georgia","2016",5.4,"Georgia2016"
"879","Hawaii","2016",3,"Hawaii2016"
"880","Idaho","2016",3.8,"Idaho2016"
"881","Illinois","2016",5.9,"Illinois2016"
"882","Indiana","2016",4.4,"Indiana2016"
"883","Iowa","2016",3.7,"Iowa2016"
"884","Kansas","2016",4.2,"Kansas2016"
"885","Kentucky","2016",5,"Kentucky2016"
"886","Louisiana","2016",6.1,"Louisiana2016"
"887","Maine","2016",3.9,"Maine2016"
"888","Maryland","2016",4.3,"Maryland2016"
"889","Massachusetts","2016",3.7,"Massachusetts2016"
"890","Michigan","2016",4.9,"Michigan2016"
"891","Minnesota","2016",3.9,"Minnesota2016"
"892","Mississippi","2016",5.8,"Mississippi2016"
"893","Missouri","2016",4.5,"Missouri2016"
"894","Montana","2016",4.1,"Montana2016"
"895","Nebraska","2016",3.2,"Nebraska2016"
"896","Nevada","2016",5.7,"Nevada2016"
"897","New Hampshire","2016",2.8,"New Hampshire2016"
"898","New Jersey","2016",5,"New Jersey2016"
"899","New Mexico","2016",6.7,"New Mexico2016"
"900","New York","2016",4.8,"New York2016"
"901","North Carolina","2016",5.1,"North Carolina2016"
"902","North Dakota","2016",3.2,"North Dakota2016"
"903","Ohio","2016",4.9,"Ohio2016"
"904","Oklahoma","2016",4.9,"Oklahoma2016"
"905","Oregon","2016",4.9,"Oregon2016"
"906","Pennsylvania","2016",5.4,"Pennsylvania2016"
"907","Rhode Island","2016",5.3,"Rhode Island2016"
"908","South Carolina","2016",4.8,"South Carolina2016"
"909","South Dakota","2016",2.8,"South Dakota2016"
"910","Tennessee","2016",4.8,"Tennessee2016"
"911","Texas","2016",4.6,"Texas2016"
"912","Utah","2016",3.4,"Utah2016"
"913","Vermont","2016",3.3,"Vermont2016"
"914","Virginia","2016",4,"Virginia2016"
"915","Washington","2016",5.4,"Washington2016"
"916","West Virginia","2016",6,"West Virginia2016"
"917","Wisconsin","2016",4.1,"Wisconsin2016"
"918","Wyoming","2016",5.3,"Wyoming2016"
